file,tweet_id,old_chars,new_chars,chars_added,pct_increase,status,timestamp
ai-freelancer-200-hour-eng-khairallah-2026-04-11.md,2042533237944397864,3938,12518,8580,217.9%,UPDATED,2026-04-16T18:07:42.412380
antonio-linares-stock-market-wealth-2026-04-10.md,2042552820952396139,3354,6741,3387,101.0%,UPDATED,2026-04-16T18:07:42.412425
athcanft-ios-lazymaxxers-guide-10k-mrr-2026-04-11.md,2042794694560879061,2976,8511,5535,186.0%,UPDATED,2026-04-16T18:07:42.412439
bloggersarvesh-chief-of-seo-claude-cowork-2026-03-25.md,2036795618090520592,2774,61613,58839,2121.1%,UPDATED,2026-04-16T18:07:42.412452
client-ascension-digital-assets-2026-04-11.md,2043016531668259041,3584,6664,3080,85.9%,UPDATED,2026-04-16T18:07:42.412464
deronin-skill-graph-content-engine-2026-04-10.md,2042604279077237170,4800,45929,41129,856.9%,UPDATED,2026-04-16T18:07:42.412476
ericosiu-autoresearch-ai-copy-testing-2026-04-12.md,2042637743348457767,7383,7557,174,2.4%,UPDATED,2026-04-16T18:07:42.412487
heynavtoor-claude-skills-sell-2026-04-09.md,2042291937483637219,2007,16567,14560,725.5%,UPDATED,2026-04-16T18:07:42.412499
leopardracer-mac-mini-35b-local-routing-2026-04-14.md,2043631410045452360,5360,21469,16109,300.5%,UPDATED,2026-04-16T18:07:42.412511
michlieben-coldiq-4-layer-funnel-2026-04-14.md,2043743066146910683,12762,16852,4090,32.0%,UPDATED,2026-04-16T18:07:42.412522
neil-xbt-ai-workflow-setup-2026-04-11.md,2042592806410109186,4211,11804,7593,180.3%,UPDATED,2026-04-16T18:07:42.412533
noisyb0y1-ai-cost-optimization-2026-04-10.md,2042665267256250696,5721,7008,1287,22.5%,UPDATED,2026-04-16T18:07:42.412544
pierreeliottlal-claude-mcp-linkedin-2026-04-12.md,2043415994056790508,1831,5115,3284,179.4%,UPDATED,2026-04-16T18:07:42.412555
rian-doris-dispersion-neuroscience-2026-04-10.md,2042661332684837323,4195,11936,7741,184.5%,UPDATED,2026-04-16T18:07:42.412566
scott-bair-company-naming-playbook-2026-04-11.md,2042527683821879331,6827,24520,17693,259.2%,UPDATED,2026-04-16T18:07:42.412577
stijn-feijen-claude-seedance-makeugc-system-2026-04-13.md,2043692176689795202,2791,4014,1223,43.8%,UPDATED,2026-04-16T18:07:42.412588
the-smart-ape-github-repo-trust-2026-04-13.md,2043617971721969911,3274,6270,2996,91.5%,UPDATED,2026-04-16T18:07:42.412600
yegor-x-organic-b2b-sales-2026-04-14.md,2043624420900479129,4509,15579,11070,245.5%,UPDATED,2026-04-16T18:07:42.412610
